id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0209368,2.1502585,10.545018,19.72693,-5.4552703,12.821629,3.8841574,5.85,6.0,0.7896810000000001,,,,,,
tt0086189,2.564697,11.826079,17.725304,-1.4003023,8.416253,2.1026697,5.95,14.0,0.836124,,,,,,
tt0071282,2.785506,12.815696,20.197195,-2.0836782,11.286662,1.3981771,5.35,53.0,2.030621,,,,,,
tt0118929,5.8340545,9.728271,21.665297,-4.888913,12.199282,0.8056727,7.4,216.0,12.851984,,,,,,
tt0119415,4.4813304,12.5812435,17.82245,-4.8726063,10.605145,2.5316806,4.3,2.0,0.197417,,,,,,
tt0115886,4.7256174,13.972851,17.660118,-1.5456918,10.737313,3.6540585,5.8,24.0,1.129648,tt0120013,tt0084728,,,,
tt0106950,4.1683087,13.176048,22.39267,-3.5915802,10.012146,4.5385985,5.800000000000001,74.0,5.970749,tt0100369,tt0114367,tt0102034,,,
tt0448011,1.4745443,11.858555,18.945044,0.47022465,12.405038,2.0417845,6.050000000000001,289.0,9.806904,,,,,,
tt0340110,3.4772933,12.388887,19.638466,-4.9608946,10.513731,2.8873432,5.75,1.0,0.99099,,,,,,
tt0119272,1.1074046,13.455965,20.504906,-2.5417478,12.307556,2.6416252,5.4,16.0,0.4673520000000001,tt0118772,,,,,
tt0096486,5.073071,12.476745,17.838392,-4.0892706,9.020851,1.8237311,4.85,17.0,2.562888,tt0092546,,,,,
tt0080546,3.5521312,10.705769,19.291693,-2.5359225,11.7154455,0.5595917,6.35,12.0,0.475739,,,,,,
tt0450506,2.8832657,13.559691,22.390537,-2.2441702,11.168318,0.74746704,5.550000000000001,19.0,1.385838,,,,,,
tt0094957,4.02414,10.784272,21.960001,-2.7216985,11.264385,-0.22869669,4.300000000000001,30.0,0.000578,,,,,,
tt0084728,2.3450625,9.609367,20.075966,-3.9610631,13.36871,1.7890484,7.5,9.0,0.039514,tt0077318,tt0079596,tt0085872,,,
