id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0065755,4.7033324,11.987821,19.098112,-0.27521625,8.493797,0.9465543,5.55,42.0,0.006668,,,,,,
tt0235712,2.6251762,9.71547,18.694498,-3.3916173,11.556692,0.37949654,5.9,55.0,5.007142,tt0218553,tt0367913,,,,
tt0831888,2.7220917,13.534211,19.660776,-1.5701767,9.946698,1.4628768,7.65,59.0,7.020628,tt0452039,tt0293416,,,,
tt0120408,1.9870349,11.534046,21.911467,-3.4407427,8.133011,3.5643613,6.85,44.0,1.094509,,,,,,
tt0158714,3.1830902,14.088109,21.16462,-3.848197,8.101599,3.4861257,7.75,116.0,7.2284570000000015,,,,,,
tt0082892,5.1028957,11.413971,18.305227,-4.371331,10.97339,3.2255428,6.35,,0.545722,,,,,,
tt0442933,3.1507106,13.171833,18.666245,-1.5822452,8.792543,2.4848273,5.85,292.0,9.951195,tt0253556,tt0120657,,,,
tt0093502,1.303343,13.618077,20.57935,-4.0483565,8.11303,3.5444806,6.5,7.0,0.757468,,,,,,
tt0210302,5.6837153,10.364081,20.379356,-4.416127,8.252965,3.5645034,6.65,21.0,2.108623,,,,,,
tt0142242,2.8894148,14.067063,18.842146,0.4823218,8.364357,1.9889303,7.4,4.0,7.348249000000001,tt0142236,,,,,
tt0461769,2.527603,13.251569,20.126247,-0.121470265,8.961616,0.22396979,6.8,13.0,0.260891,tt0210302,,,,,
tt0108188,1.5052187,13.674196,17.537724,-0.9668345,8.145738,3.4589877,7.4,69.0,5.167934,tt0098360,,,,,
tt0290329,1.1831107,13.5716095,20.948164,-3.378156,12.5716715,1.8028625,6.65,81.0,3.577025,tt0492784,,,,,
tt0430651,1.7533191,11.462558,21.458887,-4.104682,11.999439,0.76015234,7.6,46.0,2.336334,,,,,,
tt0076162,2.734735,12.451152,20.738394,-3.6280637,12.0987,4.314602,7.25,162.0,4.321776,,,,,,
tt0286751,1.2578816,13.483972,19.030722,0.30525854,7.9048934,3.3112085,6.3,163.0,4.122317,,,,,,
tt0086148,4.8299084,9.643143,21.049862,-2.5062737,10.316209,1.104811,6.449999999999999,15.0,1.934571,,,,,,
tt0079648,1.7852979,11.668149,18.621582,-1.6065435,9.794513,4.0622525,7.2,3.0,0.039518,,,,,,
tt0218553,1.1915923,13.4329605,19.637556,-2.2014802,8.045104,3.4195223,5.65,77.0,5.277814,tt0235712,tt0367913,,,,
tt0039871,1.4116484,13.636057,17.63755,-1.1498688,8.007557,3.438615,7.15,30.0,1.111592,tt0042958,tt0041699,,,,
tt0422370,3.3617775,13.402506,20.720655,-3.525498,12.446608,2.460764,5.6,25.0,0.988355,tt0378428,,,,,
tt0131636,2.207292,12.575976,19.827126,-1.364577,10.035987,4.9243917,7.9,,1.025539,,,,,,
tt0041699,3.0878174,12.2091465,22.053131,-2.0535681,11.033641,0.54894835,7.6,56.0,2.787661,tt0042958,tt0039871,,,,
tt0095327,3.190417,14.185339,17.577362,-1.0773523,8.185778,3.4095736,8.35,128.0,0.010902,tt0118799,,,,,
tt0027672,1.2560643,13.566774,20.03259,-3.947509,8.160986,3.5485966,7.1,29.0,0.717874,,,,,,
tt0203620,1.7583483,13.456174,19.728138,-3.0877683,8.051138,3.5295875,6.6,18.0,0.151684,,,,,,
