id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0248123,5.052363,14.008677,19.101181,-5.6847553,10.454543,5.274888,6.6,7.0,0.041677,,,,,,
tt0443584,0.48680502,11.6905985,20.577621,-4.113286,13.450911,1.1720318,4.449999999999999,10.0,5.257142,tt0082054,,,,,
tt0242527,2.242022,11.166927,21.120935,-2.1600718,9.92018,0.14253655,6.300000000000001,47.0,4.406514,tt0366627,,,,,
tt0374180,5.129464,9.997657,18.254795,-2.657217,10.732504,1.9215876,5.35,33.0,8.64362,tt0100369,tt0115610,,,,
tt0428856,4.142411,12.404982,19.26192,-5.632376,12.010869,2.989712,6.4,40.0,5.54542,tt0415932,,,,,
tt0073233,0.6402799,11.502226,20.483028,-4.0286636,13.348205,1.8956381,6.65,18.0,0.347249,,,,,,
tt0384177,1.7641097,12.150906,18.194006,-1.175818,11.079534,3.8995697,5.8,23.0,0.605332,tt0081182,,,,,
tt0072933,0.59062207,11.6783695,19.034039,-5.413305,13.301184,3.1224298,4.85,24.0,3.476536,tt0071464,,,,,
tt0002461,2.9007962,11.341978,18.143154,-1.8643097,9.7140465,3.2038393,2.75,1.0,0.05131,tt0006206,,,,,
tt0337876,2.3948605,10.482834,21.371744,-3.8562965,12.530758,2.7007196,6.0,174.0,6.771414999999998,,,,,,
tt0052600,4.5856814,14.3867855,18.028738,-1.3138725,12.121168,4.538556,8.149999999999999,43.0,3.434242,tt0053106,,,,,
tt0072342,2.0975196,12.117672,18.466858,-5.4434156,12.782932,3.5727787,3.25,11.0,0.0,tt0064106,tt0164368,,,,
tt0254455,1.9245006,11.98082,20.868492,-4.7074533,12.847627,1.0380201,6.85,88.0,8.164311999999999,,,,,,
tt0090037,2.009442,9.938174,20.542793,-3.8559349,10.449894,4.4433007,5.9,18.0,3.3124839999999995,tt0118866,tt0068718,,,,
tt0097373,2.747528,12.310222,18.65305,-2.090871,12.749749,1.467894,5.449999999999999,9.0,1.199401,tt0097880,,,,,
tt0474642,1.3332932,11.298728,20.549948,-4.6496034,12.853874,2.545254,5.65,29.0,1.029472,tt0254455,,,,,
tt0018066,3.2116902,12.445805,18.358723,-2.7014616,9.720459,4.7318068,7.3,13.0,0.378451,tt0021571,,,,,
tt0423176,2.1562011,14.403533,18.895088,-0.41729552,8.667169,3.2341833,7.199999999999999,65.0,0.80315,,,,,,
tt0330843,2.9952157,15.329861,20.528399,-5.528948,12.112019,4.6365056,6.25,14.0,1.492941,tt0986213,,,,,
tt0411117,2.174914,11.07206,20.291656,-4.7127233,13.134754,3.3579502,5.95,8.0,2.469114,,,,,,
tt0325596,2.347355,12.215412,21.532053,-1.8040951,11.543443,1.1633358,5.949999999999999,34.0,3.561706,,,,,,
tt0190798,1.4277496,11.634001,20.92769,-4.052146,12.024764,2.943054,7.15,31.0,0.454971,,,,,,
