id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0101414,5.188052,11.230922,18.805742,-2.7205987,9.601331,3.0871375,7.75,212.0,23.433511,tt0114148,,,,,
tt0073705,4.667941,11.345007,20.845634,-4.6170015,12.55501,0.52914816,6.4,105.0,11.540666,tt0115964,,,,,
tt0048289,5.0605965,13.920317,21.614363,-1.4373182,10.879347,0.4675855,5.5,10.0,0.910456,,,,,,
tt0096869,2.7746322,13.331127,19.194656,-1.6737776,9.66613,3.1838126,5.949999999999999,4.0,0.94982,,,,,,
tt0070578,0.2670432,10.814041,22.200691,-1.9808009,11.169369,-0.23696904,5.5,25.0,0.034545,tt0066735,,,,,
tt0048728,3.0208175,10.965712,21.717318,-1.8548677,10.07369,4.3530893,7.25,156.0,5.4905050000000015,tt0048750,,,,,
tt0062974,2.4624803,12.446702,20.489733,-3.0954688,10.30226,2.2861495,5.75,31.0,3.100523,,,,,,
tt0065398,2.386461,12.226405,19.87003,-4.208689,12.951293,1.0548025,6.85,60.0,1.306094,tt0065206,tt0067229,,,,
tt0072709,2.050817,12.913273,20.880896,-3.8592405,8.493359,0.81352854,6.55,54.0,9.2161,,,,,,
tt0091647,3.0271165,12.912638,20.142994,-1.6929266,10.840797,1.0356604,5.35,67.0,5.917152,tt0081515,tt0085385,,,,
tt0051128,5.372467,9.95153,21.878119,-3.8114266,11.974863,2.5637333,4.4,21.0,1.116166,tt0071200,tt0049370,,,,
