id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0093201,3.9077468,13.702597,20.611036,-3.4769123,10.277386,-0.5085761,4.9,13.0,0.00222,tt0097910,,,,,
tt0450336,4.398198,11.579841,20.600977,-2.103572,8.773642,2.2871504,5.25,77.0,4.065407,,,,,,
tt0084445,3.2726083,13.69624,19.753447,-5.344496,12.125708,4.0994015,6.05,61.0,1.429843,tt0096316,,,,,
tt0074279,4.287751,12.677419,18.826136,-3.2331285,11.407266,1.9354999,5.6,31.0,2.096666,tt0082136,,,,,
tt0252480,5.215045,14.107077,17.27375,-1.3505987,8.349512,2.5569935,6.65,54.0,3.166163,tt0116261,tt0243609,,,,
tt0089114,4.6393375,11.9743395,19.17978,0.39748296,7.8717046,0.6265426,6.4,57.0,4.935932,tt0088979,tt0087065,,,,
tt0035429,4.6277795,13.983075,17.601776,-0.6976807,8.190913,2.5261285,7.3,43.0,1.923558,tt0046436,tt0045808,,,,
tt0357470,4.218566,12.82313,19.813747,-2.4914918,11.885608,2.331639,5.8,27.0,10.536668,,,,,,
tt0069226,2.7263336,13.327295,18.944296,0.19197881,9.237447,0.8598117,2.8,16.0,0.417636,tt0080945,tt0098347,tt0120835,,,
tt0035884,2.4812765,11.944078,17.503016,-0.57747245,8.305682,2.596719,7.1,40.0,1.121417,,,,,,
tt0102803,2.3867319,9.6865015,19.201998,-0.05592033,8.359036,2.118131,6.4,105.0,10.536644,,,,,,
tt0035966,5.283887,9.99174,21.845373,-1.2235305,8.669966,2.882729,7.15,37.0,2.54637,tt0037075,tt0042579,tt0049949,,,
tt0116261,2.2176015,13.7839775,19.061882,-2.2888534,10.833863,1.8119613,6.6,12.0,0.119266,tt0252480,,,,,
tt0265104,5.925086,9.731227,18.128695,-2.300954,9.196152,0.11401291,4.4,25.0,1.355844,tt0438052,tt0455362,,,,
tt0093560,3.9869883,12.45995,19.710258,-1.6357545,9.056961,0.31271634,6.949999999999999,113.0,7.075533999999998,tt0079714,tt0095444,,,,
tt0157583,5.598082,10.555733,20.701963,-4.600859,8.1764765,2.4052656,6.15,119.0,21.520641,tt0144715,tt0245046,,,,
tt0036418,1.094626,10.819773,17.781076,-0.9945267,13.26813,2.7236538,3.15,6.0,0.354851,tt0044075,,,,,
tt0079808,4.9907556,10.02072,17.541428,-0.62502235,7.9910607,2.4344792,6.5,10.0,1.20008,,,,,,
