id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0118866,1.6727787,11.368067,20.34137,-4.583504,12.137049,4.244494,6.05,43.0,1.885671,tt0119324,tt0090037,tt0082220,tt0068718,,
tt0115685,-0.20075805,10.89206,21.105186,-4.3529224,13.697131,1.9870957,6.9,78.0,6.4996800000000015,,,,,,
tt0044811,1.0579476,10.189031,20.072557,-4.7486515,12.250198,3.6945038,6.5,15.0,0.7516520000000001,tt0038675,,,,,
tt0466766,5.4095964,10.762071,19.984203,-1.8169471,9.831338,0.2732862,4.75,26.0,1.777051,,,,,,
tt0122933,4.105627,10.144854,21.946957,-3.328819,10.04166,4.240632,6.550000000000001,135.0,7.634017,,,,,,
tt0914797,2.1984015,11.251699,18.628798,-3.7663164,10.89769,0.9515371,6.699999999999999,109.0,3.334353,tt0212380,,,,,
tt0099316,3.2815318,11.69095,21.948391,-3.1473277,12.099706,0.675074,5.8,12.0,3.057685,,,,,,
tt0029120,2.2078412,9.766845,19.651077,-4.100683,13.8108015,1.8381556,6.75,8.0,1.72531,tt0048527,,,,,
tt0119434,2.8914573,11.512966,18.398012,-3.7323344,11.139667,4.9642444,4.9,4.0,0.700719,tt0127276,,,,,
tt0083798,5.203219,9.964758,17.510609,-3.2038422,11.26094,1.1308478,6.7,45.0,5.515136,tt0082894,tt0100212,tt0089628,,,
tt0369295,-0.2699652,10.855992,17.9047,-4.073338,10.490305,4.820281,5.5,8.0,0.066548,tt0367631,,,,,
tt0026942,2.6157293,10.264638,19.121798,-4.0502367,11.672297,3.0184696,6.6,20.0,5.424847,,,,,,
tt0089715,0.10962094,10.904929,19.608631,-3.125427,12.520363,1.4141258,4.95,18.0,2.354286,tt0078481,tt0116745,,,,
tt0098157,5.640686,10.172281,19.809874,-2.587933,12.444716,1.4490507,4.550000000000001,48.0,0.003553,tt0117609,tt0087998,tt0234748,,,
tt0075824,3.0031374,13.890247,18.866318,-3.7438095,10.202294,5.008621,7.7,87.0,6.049944,tt0071487,,,,,
tt0382295,0.729376,12.202887,18.781816,-1.9752582,9.491287,2.9952247,5.0,14.0,4.582736,,,,,,
tt0116729,1.2417974,10.647658,20.093338,-3.704791,10.368595,4.3230553,7.0,20.0,0.670145,,,,,,
tt0028676,3.2120516,10.254316,19.318516,-3.871798,9.367578,2.7772543,6.05,5.0,0.228565,tt0036203,tt0035431,tt0030418,,,
tt0087363,4.9929996,12.200141,19.63706,-1.9419426,10.398646,3.0001159,7.1,246.0,11.333125,tt0084516,tt0091064,,,,
