id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0073496,1.8276167,10.249045,19.251234,-4.6205573,11.855225,-0.37661868,5.95,3.0,0.039473,,,,,,
tt0071746,3.1981225,10.628179,17.258337,-2.7466576,10.19374,3.9405475,7.4,64.0,7.285627000000002,tt0068327,,,,,
tt0101578,2.4382482,14.039034,18.143478,-2.5855253,8.671507,3.785084,6.2,3.0,0.150438,,,,,,
tt0119586,1.8568314,10.157111,17.394161,-3.6694624,10.199804,4.953313,6.25,25.0,1.122218,,,,,,
tt0098219,4.4388285,13.950377,17.669657,-2.7955258,10.044255,2.738943,6.9,11.0,2.188691,tt0089424,,,,,
tt0099762,1.8161916,11.935545,18.485283,-5.454804,13.243458,3.2868562,6.3,34.0,4.459959,tt0069718,,,,,
tt0086312,2.2154446,10.3333025,20.077122,-0.77707195,11.533305,1.2808609,7.050000000000001,40.0,4.873957,tt0084707,tt0089560,,,,
tt0048317,2.148131,9.957427,17.113478,-3.007241,10.881952,4.3408904,7.0,30.0,1.6561,,,,,,
tt0082783,2.5635753,13.254147,20.247856,-5.802769,11.598724,2.1936853,7.75,59.0,3.875264,,,,,,
tt0036677,3.414053,10.711242,17.409977,-2.2817774,11.500048,4.052193,5.85,8.0,4.5218050000000005,,,,,,
tt0042229,2.109787,11.684286,22.29429,-3.7603898,9.965211,1.9599748,7.25,29.0,0.869231,,,,,,
tt0140352,2.6219065,12.608074,21.436663,-1.2470565,10.485369,2.7676947,7.55,215.0,11.3569,tt0070666,tt0430357,,,,
tt0030418,2.9851978,10.155386,19.22161,-3.8195426,9.922632,3.2482798,6.9,12.0,1.632643,tt0028203,tt0024865,tt0030287,tt0033405,,
tt0892255,4.291047,13.989761,19.180805,-0.9332509,9.921035,2.0011036,7.0,174.0,5.68041,,,,,,
tt0064727,5.7587886,10.810885,21.374836,-3.648961,10.120478,2.4688377,5.800000000000001,32.0,0.44225,tt0062870,,,,,
tt0071782,4.3319435,11.466888,17.928293,-2.689951,10.203224,2.5548544,5.800000000000001,8.0,0.178017,,,,,,
tt0080678,4.6460013,10.9912815,19.604979,-0.8730839,10.780955,2.6304271,8.0,149.0,8.405672000000001,tt0100935,tt0116282,tt0460829,,,
tt0317887,1.7009267,12.512502,19.122986,-4.2453218,11.0805,3.8909032,6.35,37.0,0.621761,tt0291003,,,,,
tt0079596,2.5343828,10.729747,20.421675,-4.5130215,13.558312,1.2236683,6.25,27.0,0.773123,tt0077318,tt0076725,tt0073540,,,
tt0042702,2.6806479,10.810476,17.232872,-2.690475,10.144622,3.982779,5.9,6.0,0.171711,tt0045737,,,,,
tt0050681,3.1448941,10.593043,17.089165,-3.1464596,12.444259,2.5016537,6.7,37.0,2.108187,,,,,,
tt0097100,6.15742,11.729026,18.494604,-3.3653173,12.516518,2.072186,5.3,26.0,2.6283060000000003,,,,,,
tt0206608,1.6408468,11.345503,17.915184,-4.7705936,12.195564,2.4943395,5.6,25.0,0.042859,,,,,,
tt0070511,2.3247845,11.522954,21.157303,-1.7954453,11.631796,0.12840544,7.9,74.0,15.698432999999998,tt0062765,tt0068638,tt0074119,,,
tt0089560,3.650485,9.83431,20.784431,-3.8507743,12.053231,0.9095356,7.1,27.0,6.012125,tt0086312,tt0094608,,,,
tt0047956,4.330265,10.553662,18.277143,-0.7993358,8.353886,1.8379714,7.1,14.0,0.288597,,,,,,
tt0073911,3.4402072,13.790576,19.119577,-2.094387,9.970145,2.8682642,7.55,10.0,0.002317,tt0070077,tt0384177,,,,
tt0096316,4.1488194,11.262354,18.452429,-3.2416883,10.184654,3.4984841,6.7,40.0,4.647907,tt0084445,,,,,
tt0000574,2.9702353,10.711953,17.27581,-2.5440972,9.866341,4.579507,5.699999999999999,7.0,0.290549,,,,,,
tt0026073,2.535858,10.195478,17.14677,-2.8233256,11.648037,4.233456,6.05,17.0,1.517112,,,,,,
tt0454921,4.210631,12.289186,20.518137,-3.1481745,10.300011,2.4750578,7.85,190.0,20.981716,tt0421715,,,,,
tt0104350,1.068767,10.253523,18.214201,-5.37381,11.506344,3.9242418,6.9,18.0,1.189742,tt0120408,,,,,
tt0068828,2.0973504,9.996385,17.196005,-2.9883451,11.357137,3.9825997,7.15,18.0,7.565467999999999,tt0072351,,,,,
tt0024865,3.168172,9.981734,18.902868,-5.573804,12.329642,3.8956687,5.85,8.0,0.155582,tt0028203,,,,,
tt0077318,0.6203015,12.690637,20.733133,-2.8754127,11.335472,-0.5489542,7.0,29.0,0.65296,tt0079596,tt0076725,,,,
tt0095836,2.6657877,9.816743,17.871378,-2.9344735,11.273599,3.7351837,5.65,25.0,0.646504,tt0079271,tt0479341,tt0179182,,,
tt0367188,4.4837227,12.355249,17.628677,-3.9357095,11.652156,4.077844,7.35,38.0,7.275867999999999,tt0335119,,,,,
tt0499375,2.9396389,15.322998,18.475298,-3.2890348,11.213091,4.8122544,7.2,19.0,2.925476,tt0382383,tt0323013,tt0449994,,,
tt0335119,2.4538333,12.609196,19.215052,-3.3750618,11.369196,3.9227877,6.65,152.0,7.008512,tt0467200,tt0414055,,,,
tt0091374,1.7723187,10.1443205,18.318037,-1.8243611,9.671748,3.137461,7.0,14.0,1.991634,tt0414055,tt0091867,,,,
tt0106339,4.3795447,11.716425,17.330835,-2.2438238,10.218585,4.6143723,6.4,28.0,2.487951,tt0111048,,,,,
tt0414055,1.9158188,10.483579,18.5609,-1.4864677,9.508873,3.046961,6.699999999999999,204.0,7.608242999999999,tt0467200,tt0335119,,,,
tt0428649,1.176003,11.047544,20.933344,-4.68209,11.515986,4.3238378,6.15,41.0,1.650461,,,,,,
tt0274407,2.0028331,10.473163,17.108175,-3.003419,11.30689,4.175782,6.2,32.0,1.115895,tt0084821,,,,,
tt0072204,3.0371706,12.528756,17.550144,-0.8595717,10.521924,3.4491646,6.449999999999999,21.0,0.398914,,,,,,
tt0159784,3.0890255,12.603134,17.414684,-3.1396313,8.810672,1.7172775,6.3,15.0,4.419472,tt0113243,,,,,
tt0086904,2.1755936,12.6133175,16.68491,-3.1168327,10.404546,4.6136436,6.5,18.0,2.648073,tt0162973,,,,,
tt0070518,4.7921333,11.381869,20.098103,-2.239952,10.62428,1.974577,7.25,67.0,5.781236,tt0068638,,,,,
tt0067483,2.688849,12.428541,18.797665,-2.1140182,9.826312,3.3341157,7.1,23.0,1.952752,tt0064030,,,,,
tt0247196,2.7429848,9.811155,17.511517,-2.8845541,9.904265,2.1377099,6.9,56.0,3.933132,tt0375920,,,,,
tt0302436,3.729832,11.56129,18.256514,-1.7921026,9.950321,3.248112,5.85,13.0,9.439462,,,,,,
tt0076868,0.8452826,11.802982,17.58979,-3.5029964,10.271276,4.281197,5.75,40.0,1.3872870000000002,tt0098165,,,,,
tt0090769,3.492737,12.949318,18.142963,-2.9265184,10.703124,3.1537883,4.8,3.0,0.625342,tt0087968,tt0104438,,,,
tt0096969,4.429752,11.987256,17.058456,-2.8496106,9.489262,2.511166,6.95,77.0,13.617646,tt0086200,,,,,
tt0079985,4.3347154,11.135614,19.307487,-0.25582653,8.826136,1.5814166,7.0,2.0,0.7346590000000001,,,,,,
tt0085320,4.254361,10.691965,18.115795,-4.539674,11.393148,2.0584495,6.25,3.0,0.982587,,,,,,
tt0454776,3.6583931,14.108293,18.224766,-1.9300051,9.64228,2.5912428,7.2,97.0,20.346477,,,,,,
tt0070666,4.2638793,10.563313,22.314735,-0.9769066,10.87832,-0.40876594,7.6,116.0,12.842165,tt0140352,,,,,
tt0108052,4.999031,13.981695,17.476986,-0.8044893,8.358025,2.6379201,8.600000000000001,232.0,41.725123,tt0050083,tt0167260,tt0114369,,,
tt0264464,3.0800865,13.226963,21.549665,-0.5921532,10.37378,0.9781486,7.9,204.0,19.833077,tt0407887,tt0482571,,,,
tt0102674,4.2719784,12.593024,18.248375,-3.1339116,11.427243,2.535393,6.6,3.0,0.47349,tt0101745,,,,,
tt0064030,3.5631995,10.6981125,18.243383,-1.9610995,9.912102,3.329245,7.25,30.0,3.163027,tt0067483,,,,,
tt0305206,3.6668088,10.665647,17.230267,-2.8578687,8.500354,2.2554214,7.25,196.0,7.05435,tt0162346,tt0364955,,,,
tt0384683,4.478999,11.8461895,17.091248,-2.8162696,9.707709,1.7764411,6.0,40.0,0.634161,tt0094057,,,,,
tt0049933,3.0479367,15.197343,18.240755,-0.83751684,9.491249,2.5999515,6.15,6.0,0.51046,,,,,,
tt0108583,3.221611,13.050549,17.572357,-3.21766,10.8216305,4.4996676,6.9,21.0,0.8011560000000001,tt0076240,tt0075177,,,,
tt0112461,3.938431,11.083295,19.477251,-2.9274154,10.711044,2.6817186,7.25,41.0,7.4151440000000015,tt0163978,tt0217505,,,,
tt0200027,4.2778544,11.4992895,19.679512,-3.0758505,12.60265,1.7934164,6.5,89.0,4.556123,tt0361841,tt0239986,,,,
tt0109771,0.27272022,10.769166,17.73495,-4.471728,9.834723,4.606406,6.35,23.0,8.935058,tt0244173,,,,,
tt0042477,2.717505,13.701298,19.234705,-1.738786,12.469524,1.7208146,6.800000000000001,37.0,1.088237,tt0040092,,,,,
tt0467200,2.7319646,13.13434,18.2769,-1.9435308,10.344585,3.7462962,6.550000000000001,165.0,9.778826,tt0414055,tt0335119,,,,
tt0375920,2.7357187,10.87517,17.364456,-2.8564315,10.711814,3.8532805,6.1,105.0,4.451619,tt0120681,,,,,
tt0076147,5.269027,14.1544075,17.589745,-2.871143,9.493282,4.537911,7.6,16.0,0.24812,,,,,,
tt0119485,4.7850556,10.334353,18.911764,-2.4732165,9.245324,3.6947374,6.9,76.0,5.017519999999998,tt0063803,tt0106226,tt0068309,tt0088680,,
tt0082766,2.2774973,9.278974,21.344809,-3.3614707,11.838729,3.575357,6.65,72.0,2.878266,tt0111127,,,,,
tt0074119,2.771255,12.756589,22.367088,-0.90278983,10.951209,0.83709115,7.8,151.0,12.421754,tt0084805,tt0071360,tt0071970,,,
tt0261066,1.0430021,12.741945,18.06582,-3.5554864,10.148724,2.5744548,6.65,41.0,0.362429,tt0458522,,,,,
tt0084589,3.7453246,9.756806,19.01368,-1.4494706,11.344833,2.9726505,7.050000000000001,12.0,1.233692,tt0082054,,,,,
tt0367790,-0.12777546,10.904269,15.97868,-3.3078802,10.717147,4.0702963,7.0,78.0,4.0815470000000005,,,,,,
tt0120094,1.8461164,11.196139,17.279816,-3.0267785,11.37369,3.4880571,6.949999999999999,40.0,7.390306,tt0458522,,,,,
tt0174856,3.095578,13.051736,21.621193,-1.6808245,10.482899,2.1850932,7.4,68.0,5.716009,tt0453467,,,,,
tt0066130,2.511293,12.224868,21.165731,-2.4244506,11.035723,2.2779062,4.9,11.0,0.695389,tt0068168,tt0065398,tt0066767,tt0080130,,
tt0458522,2.8211858,10.617049,17.657747,-2.6679146,11.959677,4.0104322,5.75,63.0,1.904593,tt0120094,tt0225071,,,,
tt0103671,1.2987974,12.847204,20.515888,-1.3108952,10.5541725,1.6153222,7.25,16.0,3.160917,tt0085210,,,,,
tt0029675,4.268915,13.279325,20.780005,-0.79894274,11.479084,1.794407,4.95,9.0,0.5167390000000001,tt0029761,tt0029284,tt0027067,,,
