id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0112443,3.1715574,12.30745,21.315716,-1.0237194,9.7718725,1.6098151,5.15,14.0,0.912415,tt0117193,tt0454839,,,,
tt0084732,3.9866238,9.585474,22.35406,-2.6264083,11.189461,0.9350616,6.1,26.0,3.764354,tt0119594,tt0166943,,,,
tt0221218,2.3139944,10.23158,20.344076,-5.6978045,12.156824,2.5935555,5.6,101.0,6.418936,tt0118744,tt0880578,tt0486822,,,
tt0046878,3.9016395,9.8582735,21.249544,-2.1610496,11.732438,0.628491,6.95,47.0,3.2125,,,,,,
tt0161292,3.9105742,13.256083,18.415018,-5.310999,12.459877,3.632751,6.949999999999999,37.0,2.996721,tt0396184,,,,,
tt0227277,1.5368265,12.872275,21.013632,-1.1820432,10.850703,0.99444056,6.800000000000001,18.0,2.169971,,,,,,
tt0047542,3.2871277,10.776729,21.172009,-1.904472,10.910592,1.421751,6.6,50.0,1.859033,tt0044789,tt0047370,,,,
tt0419677,4.067758,9.311825,20.583855,-2.073079,10.380516,0.11836913,7.4,104.0,12.655746,,,,,,
tt0114369,4.3794117,10.022237,21.784811,-2.0057595,10.891393,-0.34379417,8.35,229.0,18.45743,,,,,,
tt0090186,4.6557417,9.687588,22.616667,-1.4827116,11.418152,0.7218708,5.8,9.0,0.332156,,,,,,
tt0210065,4.7661195,10.433188,18.064669,-1.860468,11.1362705,1.7601522,6.65,61.0,2.811699,,,,,,
tt0045631,3.104318,12.488017,22.30025,-3.6555696,10.690606,1.5241545,6.6,18.0,1.089195,tt0047370,,,,,
tt0101694,2.2738125,9.940486,22.486874,-2.422666,12.570582,2.810395,5.800000000000001,16.0,13.541552,,,,,,
tt0039029,3.5281084,9.339737,18.77541,-2.2115839,9.911544,1.8151497,6.6,23.0,2.541367,tt0035659,tt0039896,,,,
tt0283952,1.3463529,12.449665,20.270277,-2.9996095,11.730611,0.08635419,6.6,5.0,3.98148,tt0107079,tt0110186,tt0255819,,,
tt0870090,4.608675,10.69118,19.618505,-2.5911155,10.352065,0.49210644,6.9,86.0,3.5272120000000005,tt0293007,,,,,
tt0019304,4.3572493,9.611722,21.379322,-0.88721246,9.284235,3.949326,6.1,14.0,0.699893,tt0018515,,,,,
tt0066921,1.1910886,10.92298,21.732153,-1.1352276,10.598719,1.5305316,8.15,184.0,17.112594,tt0266697,,,,,
tt0478134,4.4823866,14.181548,21.742744,-1.9064194,12.429344,0.36689034,6.85,236.0,9.604552,tt0419294,,,,,
tt0387055,1.3937076,12.963138,21.1876,-4.5620885,11.722661,2.8261404,5.6,107.0,2.329513,,,,,,
tt0884335,2.9981992,12.727289,22.320728,-2.184039,13.3302355,1.4325697,5.4,29.0,2.022178,tt0300556,,,,,
tt0818165,5.0940776,10.365277,22.553703,-1.2106065,10.859133,-0.051148612,5.2,37.0,3.076072,tt0472259,,,,,
tt0067732,1.8940053,12.665299,21.47559,-2.1128871,11.628303,0.9872163,6.300000000000001,41.0,1.2928620000000002,,,,,,
tt0486822,3.841704,9.145105,21.471838,-2.5740485,11.834978,2.2163608,6.699999999999999,247.0,18.006895999999994,,,,,,
tt0050737,3.4222794,9.1110325,22.39327,-2.5951753,11.079457,-0.29784268,5.75,6.0,0.114334,tt0042428,,,,,
tt0258967,4.075909,10.121826,21.727816,-3.163849,12.266473,-0.039198015,6.75,17.0,5.526635,tt0160620,tt0984200,,,,
tt0025464,3.6436298,10.20911,20.407444,-5.8641515,13.676413,0.5763712,6.75,24.0,2.4793830000000003,tt0032617,tt0028505,tt0023305,,,
tt0042700,2.4432678,12.760244,20.640314,-4.907132,13.394344,1.0838367,6.85,12.0,0.91292,,,,,,
tt0160620,4.68784,11.511603,21.895924,-2.5544589,11.073053,0.9941459,5.75,21.0,8.343079,tt0152176,tt0258967,,,,
tt0490166,0.55859995,11.66092,20.105682,-3.6038203,12.032523,2.379736,6.7,66.0,2.216329,,,,,,
tt0088272,4.3101144,10.778071,22.173304,-0.94032604,11.082108,0.83613455,6.199999999999999,53.0,8.991304,tt0074483,tt0100928,,,,
tt0077413,3.2390842,13.751439,22.181496,-2.19136,10.014309,0.95415896,7.0,53.0,11.162277,tt0081163,,,,,
tt0454435,2.9783046,15.313533,18.684381,-2.9033568,10.624245,3.3128917,6.3,17.0,0.6106199999999999,,,,,,
tt0050669,2.1496363,9.789898,22.41307,-2.5874727,10.995968,0.3446688,6.7,14.0,1.430996,,,,,,
tt0109785,2.2266061,11.774798,19.239594,-2.9300833,12.1615925,1.2954581,5.65,9.0,0.100685,tt0102469,,,,,
tt0022286,4.2113905,10.371988,19.69927,-2.0715413,10.463089,1.5912037,7.5,66.0,4.841185,tt0021079,tt0023042,tt0020836,,,
tt0448400,5.06252,10.362264,21.753317,-3.8974104,12.191273,1.4854989,5.15,71.0,9.008456,,,,,,
tt0042039,3.3128068,9.541354,22.330976,-3.2683327,12.233881,0.4725205,6.199999999999999,40.0,1.427748,tt0038492,tt0046791,,,,
tt0074749,2.7385063,12.810027,19.255468,-3.2716248,12.000166,1.0541923,7.25,70.0,2.037561,tt0090727,,,,,
tt0220806,2.4538815,12.874559,22.18133,-1.9299704,10.406497,0.59412056,6.15,55.0,1.320887,,,,,,
tt0081070,3.2754815,13.970119,21.750858,-0.83523166,10.375978,1.2601299,7.35,91.0,11.693374,tt0070077,tt0082220,,,,
tt0902955,3.6535761,13.792115,20.020662,-5.384985,10.718171,0.051420365,6.4,2.0,1.959976,tt0499262,tt0263438,tt0127311,,,
tt0166110,4.156299,10.07384,21.359657,-2.4858994,10.015276,1.3327965,4.25,60.0,6.513545,tt0105128,,,,,
tt0094226,4.2221136,10.501405,21.573532,-0.50040525,10.532102,1.5219772,7.75,140.0,11.062203,tt0217505,,,,,
tt0032636,4.0241904,10.603757,21.257912,-4.731024,9.869294,4.3951526,6.6,12.0,1.250248,tt0032285,,,,,
tt0069761,3.4459572,11.640123,22.288795,-1.1316845,10.503172,1.5974354,5.6,17.0,0.089257,,,,,,
tt0049026,2.6249607,10.44094,21.384392,-0.8931149,11.4790745,-0.54614466,5.2,8.0,0.409502,,,,,,
tt0120787,4.8779397,9.47884,22.364647,-3.1848314,12.826822,2.909996,6.4,74.0,9.430812,,,,,,
tt0098273,4.551636,10.665916,22.610855,-2.5254643,10.357947,0.8715522,6.75,49.0,9.801967,tt0067549,tt0070666,,,,
tt0029578,0.9561726,11.270106,18.708277,-4.8533025,12.151752,3.2241642,2.75,1.0,0.072976,tt0025725,,,,,
tt0044789,4.4268556,9.265484,20.516932,-1.112001,10.335302,1.108034,7.2,53.0,1.7951,tt0047878,tt0041503,,,,
tt0080754,4.2749834,10.614569,17.32197,-0.97110254,8.490055,1.9877381,5.8,17.0,4.402396,tt0064728,tt0049830,tt0340376,,,
tt0064787,5.4587493,10.358173,19.735428,-5.1296244,12.229473,0.5896521,6.0,29.0,0.34105,tt0067602,,,,,
tt0488174,1.4574807,11.824523,22.505495,-2.7252173,11.141461,0.5496957,6.0,18.0,1.092424,tt0475783,,,,,
tt0052811,5.3957496,10.851349,22.150143,-2.463846,10.161827,0.30777806,6.2,20.0,3.367599,tt0062037,tt0069715,,,,
tt0043503,3.5934892,10.735315,22.625189,-1.7461963,10.829316,0.75330806,7.35,23.0,1.893149,tt0044533,tt0047985,tt0044040,tt0037611,tt0039302,tt0037166
tt0050097,3.7804346,9.806067,20.603394,-1.2333705,10.284857,1.097836,6.25,8.0,0.4382430000000001,,,,,,
tt0488120,4.1655326,9.401044,22.830902,-2.262455,11.451734,0.25348258,7.15,188.0,10.113628,,,,,,
tt0025935,1.3649712,12.389758,19.508373,-5.2661343,12.952058,1.646513,6.7,7.0,1.236137,tt0044075,,,,,
tt0217505,3.415576,10.861386,21.538776,-2.2539084,9.685739,2.3663788,7.3,237.0,14.922399,tt0407887,,,,,
tt0034998,3.3532958,14.505634,20.529371,-0.38122365,11.335869,1.6151539,3.2,2.0,0.529771,,,,,,
tt0022979,2.1092908,14.150081,20.790024,-1.6626601,11.907714,-0.30396828,5.25,11.0,0.308959,tt0023629,tt0032285,,,,
tt0047679,4.094258,9.75553,22.648438,-2.7779014,11.797115,-0.3021834,6.65,20.0,1.097008,tt0034798,,,,,
tt0039725,2.1202466,9.5824375,22.299692,-3.3721511,11.964887,1.3733089,7.0,38.0,3.122447,tt0048527,tt0042544,,,,
tt0094056,3.6156194,11.275273,22.494415,-1.2563415,11.152285,-0.5966324,6.050000000000001,24.0,7.7215880000000015,tt0104693,,,,,
tt0111216,5.2739077,10.875802,20.977133,-2.5200572,11.739172,0.47112575,5.550000000000001,12.0,0.644934,tt0114367,,,,,
tt0116378,5.5022287,12.845223,21.536203,-2.9311063,9.419322,3.6903317,6.949999999999999,53.0,2.772039,tt0133122,tt0425236,,,,
tt0181317,4.4998136,9.5447235,21.667213,-1.6082065,11.30269,1.3850492,5.65,3.0,0.106077,,,,,,
tt0186151,1.8376273,11.098466,20.856527,-3.6745613,11.107808,0.7851668,7.15,131.0,10.163266,tt0366627,tt0453467,,,,
tt0041555,4.092785,11.803576,22.771147,-2.3061824,11.875339,0.14116724,6.449999999999999,22.0,1.19379,tt0037611,tt0082220,tt0039926,,,
tt0283897,2.8630042,11.378563,19.27811,-1.0873193,11.502339,1.3331082,5.55,40.0,1.21683,tt0118632,,,,,
tt0443456,1.6008658,11.349264,20.848965,-2.9424286,12.793865,1.8005544,6.4,112.0,4.217411,tt0107613,,,,,
tt0020836,5.174746,9.689323,20.947428,-2.7429886,10.890253,4.1436596,5.6,14.0,0.494331,tt0021079,tt0022236,,,,
tt0017075,4.285156,9.779073,22.326607,-2.6617916,11.521362,0.36924002,7.25,87.0,9.299853,tt0017843,,,,,
tt0115012,4.6652813,10.56997,18.480396,-2.2633157,9.114981,3.631876,6.8,36.0,1.100915,,,,,,
tt0039926,4.0319195,9.223659,21.346636,-4.9660025,12.231033,3.5450015,6.45,24.0,1.408342,tt0037611,,,,,
tt0071147,1.9784365,11.323073,20.531237,-4.050585,12.568107,1.4524498,5.8,14.0,0.950951,,,,,,
tt0095647,4.403817,9.730982,21.255484,-0.41568995,10.965884,0.41548535,7.6,64.0,13.971865,tt0096969,tt0094226,,,,
