id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0050652,3.5866811,10.92703,20.424614,-2.2858074,9.784697,2.606914,6.25,8.0,0.127452,,,,,,
tt0082677,4.758196,13.222987,21.978561,-1.9824901,10.472345,1.016593,5.9,52.0,1.457778,tt0083336,tt0079240,,,,
tt0030287,3.0141249,12.9053755,19.621313,-4.810532,13.16539,1.7316201,7.35,51.0,11.277226,,,,,,
tt0036376,6.028087,9.708488,19.262117,-4.672231,12.266284,1.5145414,6.449999999999999,59.0,5.343065,tt0034902,,,,,
tt0031742,2.9829516,12.079616,19.942028,-4.552322,11.565966,0.83403563,7.6,15.0,0.995919,tt0032728,,,,,
tt0101879,4.4164114,11.946671,18.11739,-0.4905281,12.072484,4.2634473,2.35,1.0,0.5808909999999999,,,,,,
tt0029606,2.8394403,10.935502,19.029585,-3.8064618,11.520407,4.267655,6.8,51.0,2.5375080000000003,tt0047522,tt0030287,,,,
tt0044030,2.8600264,10.777368,20.845673,-4.956021,13.791552,1.7892505,6.9,16.0,2.01799,tt0043880,,,,,
tt0768212,2.3823285,12.525084,20.189602,-2.7806666,12.448472,2.0156958,6.050000000000001,116.0,6.183051,tt0760329,tt0457419,tt0970411,tt0494238,,
tt0068327,3.1428535,11.426842,19.517246,-3.4826527,12.982015,2.2323887,7.6,101.0,10.82887,tt0071746,,,,,
tt0089565,1.5010089,10.861985,18.892576,-5.2665257,11.196379,3.8411467,3.6,9.0,0.8461700000000001,tt0071464,,,,,
tt0079822,2.9151626,9.682144,19.72429,-2.3976674,11.5971985,1.2647711,4.8,37.0,1.851179,tt0012190,tt0082511,tt0088207,tt0047191,,
tt0772200,-0.14427117,10.879555,19.970568,-3.6789737,12.81093,0.80893016,5.9,18.0,1.4001,,,,,,
tt0039204,4.1222615,10.166396,18.92494,-2.7865877,12.85633,3.6367865,6.949999999999999,35.0,1.990877,tt0043625,,,,,
tt0063050,2.7437108,10.435681,20.652721,-3.9021401,12.968021,2.3848171,7.4,14.0,3.601834,,,,,,
tt0032477,3.3153572,10.096006,18.658752,-3.865542,8.598951,1.8651203,6.2,2.0,0.769266,tt0047860,tt0039659,,,,
tt0049843,3.0404973,9.905033,20.460995,-5.002164,12.384489,4.498271,7.45,41.0,0.573692,tt0051055,,,,,
tt0077235,3.417066,13.910016,17.982616,-2.9131641,9.468938,1.0430866,7.0,39.0,11.589692,tt0065775,tt0079271,,,,
tt0118632,2.0900905,13.543256,19.254969,-3.898156,11.319396,1.8881785,6.65,100.0,9.21174,tt0283897,,,,,
tt0018836,1.7895247,10.277501,18.70767,-4.9000206,13.1026745,3.5109737,5.85,4.0,0.149852,tt0020589,,,,,
tt0452694,2.753803,11.361909,20.640308,-5.3655553,11.179831,3.4225168,6.9,218.0,13.682598,,,,,,
tt0044391,3.406249,13.704594,17.949087,-3.6531882,10.091277,4.184697,7.6,88.0,3.12508,,,,,,
tt0497316,3.021561,13.817964,22.511652,-1.0807332,10.683946,-0.09289009,5.6,19.0,1.844661,,,,,,
tt0455537,3.323752,13.147458,18.879168,-5.259122,12.243935,2.5358453,4.45,9.0,0.11689,,,,,,
tt0483812,1.1415597,10.777287,21.76183,-3.7097824,12.149192,2.5705628,6.25,35.0,6.196999,,,,,,
tt0046791,2.3961785,10.325416,18.47037,-3.806473,11.477705,4.198283,5.35,21.0,0.678793,tt0042039,tt0038965,tt0047679,,,
tt0023369,2.7796729,10.053267,20.29212,-4.0330467,12.286722,0.14348778,6.0,28.0,0.577818,tt0048527,,,,,
tt0085513,2.626592,13.830437,18.73017,-5.031661,13.088943,2.6681402,4.55,5.0,0.8985700000000001,tt0062765,tt0085878,,,,
tt0897347,5.478459,10.309458,21.539398,-3.808964,11.32507,2.3658438,5.5,43.0,5.0034550000000015,tt0435528,,,,,
tt0037820,5.6314106,10.006957,20.006817,-0.38818824,9.105025,0.15869014,6.1,49.0,1.791188,tt0038343,tt0036104,,,,
tt0021730,3.3379674,9.410548,19.87388,-3.0381055,11.968415,3.1501236,7.05,26.0,1.328118,,,,,,
tt0479965,3.6227703,11.484322,19.894562,-2.9136565,12.090506,2.4738111,6.3,29.0,0.708427,tt0914797,,,,,
tt0118744,2.4510093,10.294663,19.910072,-4.666839,11.793849,3.391375,5.7,48.0,8.753233,tt0221218,,,,,
tt0120070,4.653138,13.578246,18.795502,-0.23171474,8.726633,0.81055206,7.199999999999999,17.0,3.699017,tt0169145,,,,,
tt0043910,1.4002701,10.155677,20.50985,-5.716503,11.810202,4.14003,7.1,6.0,0.795493,tt0040971,tt0040499,,,,
tt0087277,1.333392,12.220065,19.625738,-2.7462447,12.606115,1.5076605,6.5,63.0,10.403992,tt0077631,tt0099653,tt0076666,tt0091790,tt0103855,tt0086200
tt0399901,1.207271,12.869788,20.758118,-4.27794,11.502391,3.5034804,5.85,17.0,0.129004,,,,,,
tt0089798,1.1742824,11.871927,21.200932,-5.062399,13.027695,0.5774536,4.2,16.0,1.289698,tt0076666,,,,,
tt0049271,3.1378043,10.484577,19.721628,-2.8010762,11.584344,2.1235502,7.35,2.0,1.037593,tt0051525,,,,,
tt0952682,2.1148932,11.307162,18.782907,-2.5491292,9.94128,2.4418788,7.050000000000001,93.0,4.770903,,,,,,
tt0277027,2.617275,13.463976,21.420761,-4.1856923,12.687647,3.9981275,7.45,117.0,12.935016,,,,,,
tt0027700,0.7019062,12.813952,17.421291,-2.7769914,9.95638,3.7667685,6.05,20.0,0.113381,,,,,,
tt0037034,1.927003,10.355341,18.012808,-1.4140283,8.393976,2.8123794,5.45,9.0,0.128057,tt0037820,,,,,
tt0067893,4.5028415,12.151148,18.584555,-3.3153605,11.393361,1.5741463,6.95,123.0,4.550433,tt0071424,,,,,
tt0117924,2.308474,9.977266,18.704676,-5.528867,12.524918,2.980456,5.4,24.0,3.263681,tt0160916,,,,,
tt0074798,4.560569,11.823421,19.063847,-5.2631474,12.618838,2.829691,6.7,20.0,0.484227,tt0070509,,,,,
tt0041955,1.4027811,11.077983,17.411642,-3.8999894,12.083295,3.992885,6.35,6.0,0.054871,tt0040076,tt0031235,,,,
tt0418647,2.2300222,13.602176,20.129663,-2.1000361,10.970125,2.6678307,6.6,76.0,7.811933,,,,,,
tt0162830,1.5460197,11.4156275,20.653687,-5.85542,12.399324,4.0331235,7.15,55.0,1.596052,tt0322659,tt0118818,,,,
tt0022905,1.3622329,12.432121,21.707079,-4.5147443,12.294625,3.5943608,6.5,19.0,0.37014,tt0022208,,,,,
tt0048130,2.2630413,10.492982,20.066442,-4.098331,12.777603,1.3100694,7.05,10.0,0.398853,tt0049843,tt0038455,tt0047542,,,
tt0044941,4.217696,11.9373,19.159174,-4.5811543,9.858342,4.27246,5.05,16.0,0.135091,tt0044896,,,,,
tt0046446,2.186615,9.476332,19.4661,-3.9718935,11.732013,4.2309837,5.45,14.0,0.574971,tt0048527,tt0042544,tt0039357,,,
tt0028096,2.8887138,10.803196,20.64702,-2.0254068,12.292786,2.9885123,7.3,58.0,3.225088,,,,,,
tt0052106,4.147495,10.860626,19.741196,-4.1859264,10.529493,4.498751,6.05,24.0,0.5389729999999999,tt0046921,tt0044110,,,,
tt0037017,4.8023615,12.619182,18.004595,-0.25339425,7.8892694,2.3753757,7.449999999999999,86.0,7.7733539999999985,tt0042994,tt0048750,,,,
tt0364745,3.2123482,12.727136,22.650537,-1.5079061,12.134099,0.9786921,5.6,5.0,4.364247,,,,,,
tt0095286,1.9441758,10.0718155,18.651276,-5.226372,12.019516,2.6546078,5.5,12.0,0.920379,tt0097557,tt0089679,,,,
tt0038387,4.1341906,12.377288,21.352043,-2.5624378,11.049813,-0.1483019,4.35,27.0,0.342308,tt0033787,,,,,
tt0087837,2.8721645,13.3965435,18.395653,-5.3613787,12.502524,3.7918932,6.3,10.0,0.33517,,,,,,
tt0050298,3.877792,13.507314,18.04391,-0.7968884,8.617319,1.8473496,5.35,4.0,0.71938,,,,,,
tt0039357,3.1434498,11.44008,18.03486,-5.032575,13.50729,2.0849972,5.8,7.0,0.340375,,,,,,
tt0048517,4.2144856,10.66135,20.347906,-3.8026056,9.395855,3.3587472,5.15,10.0,0.661561,,,,,,
tt0756618,4.0722504,11.443851,21.746168,-2.0383167,10.406116,1.9718344,5.95,1.0,0.473745,,,,,,
tt0414426,4.176287,12.852032,21.987282,-3.9941936,11.425925,-0.7128636,6.1,28.0,1.138929,,,,,,
tt0077617,4.08093,13.782178,18.266039,-0.8202285,8.835069,3.1193595,6.65,17.0,1.737092,tt0070653,tt0064397,tt0044110,,,
tt0152176,3.6229734,13.166015,19.303377,-3.4760752,11.262017,4.9950147,3.0,12.0,0.014898,tt0160620,tt0212826,,,,
tt0032414,3.2907207,12.406288,18.335878,-4.4446135,12.346746,-0.15414819,6.5,1.0,0.285855,,,,,,
tt0067004,1.5671397,10.846018,22.262575,-3.679519,12.326726,1.8478267,4.1,7.0,2.244142,tt0072435,tt0063636,,,,
tt0028829,2.6652925,9.329943,22.039541,-2.2572305,10.383696,5.3474975,6.449999999999999,6.0,0.113817,tt0035980,tt0034622,tt0029120,,,
tt0376196,2.9876447,13.741545,22.703417,-2.2863483,11.144173,1.4588996,5.65,39.0,6.300001,tt0763840,tt0963965,,,,
tt0078111,0.46108243,11.7144375,19.640602,-4.009771,12.270337,3.972982,6.4,33.0,5.793494,tt0082054,,,,,
