id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0018515,4.942679,13.48206,17.669596,-0.7382351,8.649476,3.3071256,3.35,6.0,0.38981,tt0019304,tt0021890,,,,
tt0067345,2.4018931,11.016642,18.945457,-0.8784141,9.032009,1.3214186,6.3,17.0,0.452215,tt0073835,,,,,
tt0034182,4.904982,12.174802,21.201319,-3.1653762,10.792874,2.6591964,6.65,14.0,0.977858,tt0035369,tt0035244,,,,
tt0024894,5.3970065,9.819616,20.26575,-1.882752,12.071495,0.099942386,6.75,93.0,8.053913,tt0034398,tt0021814,,,,
tt0085750,4.6207848,12.193997,19.537043,-1.204454,9.028081,0.8932283,3.95,90.0,16.603041,,,,,,
tt0048682,1.3110725,11.3265295,21.923244,-1.7876036,11.810482,-0.19802015,3.45,15.0,1.36807,tt0049370,tt0052969,,,,
tt0104418,4.1102166,9.596087,21.352943,-4.93538,12.66546,3.7726061,6.05,34.0,1.80809,tt0096426,tt0110667,,,,
tt0090357,4.630559,9.209521,22.053474,-2.245885,10.137823,1.8571522,6.75,78.0,5.203452,tt0093260,tt0218182,tt0110197,,,
tt0069404,2.5874484,9.998977,18.060637,-4.5625677,13.035445,0.5203714,6.4,14.0,4.884367,,,,,,
tt0104431,5.125089,11.733448,22.190376,-1.0971828,11.221066,2.0400293,6.55,62.0,13.293722,,,,,,
tt0205461,4.7782145,12.499,17.905964,-3.2242694,9.477682,1.7471275,4.449999999999999,41.0,1.046659,,,,,,
tt0053106,1.2502826,11.30306,19.657763,-0.6452715,9.471818,0.7372304,7.7,43.0,1.451473,tt0052600,,,,,
tt0022689,6.1072555,11.481052,21.252516,-4.440759,12.664786,-0.050837882,4.699999999999999,27.0,0.487087,tt0064041,tt0023369,,,,
tt0052782,4.827386,10.941368,18.379887,-2.0257823,9.491282,3.1317441,4.85,43.0,0.807818,tt0050381,tt0052604,tt0051951,,,
tt0078474,3.6389184,13.097439,18.990273,-1.4991727,8.3961525,1.0748844,6.15,44.0,1.463804,,,,,,
tt0102057,3.2855132,12.606289,20.400667,-2.7156386,10.91575,3.2514915,6.75,94.0,14.508137,tt0104431,,,,,
tt0970411,3.8257613,13.075048,19.59614,-1.5649139,9.13409,1.6034906,6.35,123.0,8.061467,tt0760329,tt0457419,tt0494238,tt0406375,tt0449010,
tt0017416,3.0342782,13.006094,20.905153,-4.8713517,12.665811,1.6791551,5.65,22.0,0.135371,tt0012675,tt0012190,,,,
tt0093543,4.2297025,13.248839,18.991247,-1.8093984,10.0781765,3.085,6.35,5.0,5.553737,,,,,,
tt0069515,4.5832114,9.91786,17.841545,-0.6875138,8.635809,3.1992528,5.6,12.0,0.837091,,,,,,
tt0034734,4.4556227,10.672962,17.906868,-0.58885866,8.177213,2.3560522,6.65,9.0,0.901645,,,,,,
tt0040720,3.0201294,9.911339,21.370537,-4.426281,12.684427,3.4043322,6.05,19.0,0.401971,tt0037508,tt0047603,tt0043643,,,
tt0159421,5.2851806,11.45643,19.717897,-1.9529893,9.57011,2.9865992,6.0,45.0,2.86282,,,,,,
tt0295427,4.005473,12.352089,18.951956,-2.0306377,10.13738,2.515498,3.55,51.0,4.659087,tt0118539,tt0317303,,,,
tt0067315,4.6575217,12.245122,18.386362,-2.5965395,9.811451,2.794961,6.4,16.0,2.555606,tt0053106,,,,,
tt0029442,4.1939454,9.918148,18.413002,-1.9937612,9.532727,3.1191037,8.05,12.0,5.272355,,,,,,
tt0250371,2.6252325,13.047907,18.51925,-3.4174545,10.8489,3.2465267,6.550000000000001,27.0,1.782377,,,,,,
tt0103790,2.1582215,13.71184,18.71696,-1.6951464,10.125394,4.5291758,7.3,,0.395425,tt0083260,,,,,
tt0294357,1.6522207,11.295079,18.119625,-1.0578791,11.701942,4.4165363,6.6,53.0,8.940335000000003,tt0218922,,,,,
tt0050622,5.9099402,11.954768,19.378849,0.5077242,8.093356,1.6131335,6.050000000000001,35.0,0.699475,tt0049516,tt0035124,tt0047960,tt0047559,,
tt0040550,2.5183113,13.559187,20.272226,-3.205859,11.852462,1.296699,6.55,18.0,0.901723,,,,,,
tt0089385,5.0117984,11.323995,20.218954,-4.038655,10.892734,3.2565222,6.75,15.0,1.29288,,,,,,
tt0079240,3.978333,11.980172,20.801939,-0.7032844,11.49476,0.5084211,6.75,36.0,5.393807,tt0066767,,,,,
tt0101455,5.7378297,12.98738,19.854136,-2.4998333,11.223605,2.3662846,4.7,8.0,2.68101,tt0106701,tt0092638,,,,
tt0796307,1.3529649,12.992789,20.514069,-1.407966,12.3608265,3.0948372,7.15,76.0,2.410635,tt0318292,,,,,
tt0031505,3.9796145,9.647612,20.344654,-3.5729024,12.63334,1.3467135,5.949999999999999,55.0,3.876608,tt0039694,,,,,
tt0029440,4.3628063,11.1609125,19.853706,-3.2158625,9.9757595,3.3667629,6.800000000000001,8.0,5.67106,tt0042644,,,,,
tt0026966,4.6927743,11.252142,19.043861,-1.3777586,9.56644,2.2527812,5.25,14.0,0.104391,,,,,,
tt0293191,4.659619,13.341991,17.625296,-2.1086829,8.998758,2.8181148,5.0,6.0,0.94879,,,,,,
tt0448154,3.020606,12.934459,18.447056,-1.7270721,9.169666,3.0818944,4.1,6.0,2.282189,,,,,,
tt0473360,5.1937485,13.18056,18.897373,-3.7546437,11.566664,2.9817698,5.85,49.0,4.5923300000000005,,,,,,
tt0033606,2.026923,10.232845,19.312374,-1.237675,7.796162,1.9614726,5.699999999999999,17.0,1.034282,tt0035369,,,,,
tt0097991,4.672354,13.307939,18.430544,-0.90685105,8.944754,2.860505,5.15,16.0,0.699608,tt0094374,,,,,
tt0838221,3.3292267,13.626036,20.778381,-3.0380073,11.666598,1.3219309,7.15,261.0,6.493474,tt0362270,tt0115734,,,,
tt0101529,2.522392,13.381469,20.473314,-1.2946774,10.056618,1.9049535,6.9,6.0,1.348021,,,,,,
tt0181530,4.625996,14.369916,17.917162,-1.6574329,8.612026,2.7907112,7.45,48.0,1.080972,tt0104507,,,,,
tt0016039,5.0205016,12.113286,17.351933,-2.945302,10.0252,3.9654813,6.8,64.0,2.968503,tt0014945,,,,,
tt0062776,3.4777281,11.781094,17.622194,-3.8736413,12.694536,2.5555568,5.3,43.0,4.6404190000000005,tt0064728,tt0098165,,,,
tt0760329,5.995623,10.781546,19.36965,-1.276084,9.039574,1.140028,6.35,102.0,5.083211,tt0457419,tt0396752,tt0494238,tt0970411,,
tt0026249,4.50205,11.330158,18.197828,-2.1195972,10.184936,2.5862129,4.8,13.0,0.456739,tt0029442,,,,,
tt0030265,4.4113812,11.019566,18.509748,-5.2604084,9.796235,3.0001955,7.05,7.0,0.142013,tt0030418,tt0029442,tt0044533,,,
tt0113617,2.0599415,10.6902075,19.286531,-0.16993746,9.780858,0.6659503,7.1,16.0,3.205275,,,,,,
tt0016654,0.7313765,12.687464,20.968758,-2.9415884,9.417889,1.6978532,7.0,26.0,1.570282,tt0017416,,,,,
tt0049516,6.069673,11.505421,19.578463,-0.5228811,9.48062,0.08222257,4.7,52.0,0.8833059999999999,tt0049370,tt0050622,tt0050545,,,
tt0112302,4.63721,10.636201,21.611732,-1.9594512,12.07738,3.453168,5.45,14.0,2.561161,tt0113755,,,,,
tt0051507,4.6642733,12.25927,19.709213,-0.6814363,9.576429,0.38191262,5.15,37.0,0.259001,tt0049169,,,,,
tt0037027,3.3070185,10.530695,18.5762,-1.7504888,9.347156,3.1483247,6.1,6.0,0.34846,tt0033436,tt0041098,tt0044320,,,
tt0015400,3.645962,12.560762,18.652607,-2.3818326,9.293682,3.1810722,7.550000000000001,65.0,3.878515,tt0018051,,,,,
tt0086856,3.738552,10.283746,19.34367,0.15393272,9.747247,1.637156,6.3,114.0,7.778445,tt0084591,,,,,
