id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0051885,5.692213,10.103884,21.787266,-3.158614,11.626658,0.29834536,5.949999999999999,22.0,0.837849,tt0052602,,,,,
tt0045992,4.0303955,9.922432,20.934471,-1.5060542,9.827892,1.5919117,6.550000000000001,14.0,0.442244,tt0043469,tt0046719,tt0039737,tt0043408,tt0043959,
tt0114367,4.06787,12.191001,18.847292,0.11544101,7.694232,1.1172891,6.25,69.0,12.758848,tt0106950,,,,,
tt0353489,5.7213683,11.140158,18.404781,-2.5530376,12.074337,1.9363294,6.300000000000001,75.0,3.523822,tt0115610,,,,,
tt0115006,6.155543,11.852579,19.983948,-0.1182005,8.635383,0.85883665,3.85,20.0,0.409937,tt0100975,tt0080379,tt0108339,,,
tt0100369,2.1489573,13.553352,17.89197,-2.3432531,11.455474,2.7252643,5.85,44.0,2.252625,tt0106950,,,,,
tt0229480,5.688876,10.72121,20.325527,-0.7429188,10.724454,-0.36634782,3.15,13.0,0.009335,,,,,,
tt0111003,2.7845724,13.7696905,19.137074,0.47147298,7.9993067,0.7107687,5.75,53.0,7.272296000000001,,,,,,
tt0211718,2.3247244,12.289713,18.65202,-4.5639296,10.733395,2.6121414,7.1,30.0,0.264672,,,,,,
tt0435286,3.7504275,13.241996,19.325277,0.5533301,8.283359,0.8793436,6.05,2.0,6.4218660000000005,,,,,,
tt0097498,4.8707128,12.85375,21.136208,-3.313688,11.710133,1.3222291,3.2,39.0,0.001021,tt0090837,tt0090094,tt0090627,,,
tt0120794,5.273402,11.956409,18.711336,-2.600878,9.840209,3.439326,7.0,107.0,11.898185,tt0138749,tt0118617,tt0114148,,,
tt0138703,5.6151114,11.122118,19.16919,-0.59985095,8.832527,1.4861783,5.300000000000001,78.0,7.590628,tt0079714,,,,,
tt0067367,2.0224245,9.781991,17.91578,-2.069557,12.324347,2.2893226,6.0,61.0,0.846569,tt0065851,,,,,
tt0072271,4.7191257,9.418072,20.637903,-2.8344686,10.621403,-0.45959184,7.3,256.0,15.526413,tt0083907,tt0092991,,,,
tt0096163,1.8410819,12.346708,18.348753,-5.5651774,12.455305,1.0160156,7.550000000000001,102.0,11.096035,tt0286751,,,,,
tt0048954,0.43922496,11.394451,18.547316,-4.3312364,12.468551,3.5417001,6.85,9.0,0.228249,tt0047688,tt0038116,tt0120321,,,
tt0079714,5.874933,10.428685,20.035252,-2.0221045,9.147875,1.4594324,6.65,228.0,6.609336,tt0138703,tt0095583,tt0083624,,,
tt0380066,2.0730314,10.563799,20.817526,-3.4041107,12.929505,1.9940053,5.65,88.0,3.601261,tt0367153,,,,,
tt0106827,3.7318037,10.868295,18.105482,-1.8238442,9.768487,3.1964488,4.75,6.0,0.386295,tt0092974,tt0129908,,,,
tt0960741,5.855299,12.927335,17.959276,-2.2135363,10.005909,0.611434,5.9,17.0,2.179154,,,,,,
tt0064310,5.1931753,11.295946,21.625254,-4.127699,12.54882,0.93255645,5.75,19.0,0.107612,,,,,,
tt0051629,4.1543193,11.039221,19.249365,-0.8271782,10.5979805,0.11719241,5.75,10.0,0.126986,tt0041253,,,,,
tt0067017,5.970158,9.799924,19.350922,-0.63934857,9.210914,0.22236155,3.8,58.0,1.513005,tt0065852,,,,,
tt0126765,5.081801,14.006807,20.430653,-0.22469144,9.834193,4.5230865,7.199999999999999,11.0,8.271531,tt0408777,tt0326429,,,,
tt0046330,2.2610855,9.636026,18.375261,-4.828174,12.544244,3.5276225,6.05,3.0,0.409247,,,,,,
tt0389790,1.2088302,11.192675,18.003454,-4.7523093,12.333573,3.6630204,5.9,192.0,8.774374,tt0358082,tt0351283,,,,
tt0076068,5.2619643,10.944508,22.29209,-2.9087124,11.565991,-0.09014659,6.35,31.0,0.207819,tt0064787,tt0072349,,,,
tt0303970,6.2391586,11.196139,17.953402,-2.3978548,9.223834,0.38102996,5.35,27.0,0.512034,,,,,,
tt0129908,3.5672762,11.2561,18.580683,-0.7391674,10.46745,3.0109625,4.0,6.0,1.08121,tt0106827,tt0092974,,,,
tt0080379,6.1604433,11.02585,18.610352,-0.8420547,9.7632885,0.44605356,5.7,80.0,1.107117,tt0080503,tt0082479,tt0081248,,,
tt0075334,4.031367,13.472545,20.253153,-1.8573836,11.952631,0.38759106,5.95,75.0,2.130583,tt0065851,,,,,
tt0836683,1.6266024,12.934523,20.768362,-2.5302083,11.29824,0.7337938,5.449999999999999,18.0,0.525407,,,,,,
tt0095728,5.503687,9.992155,18.300385,-4.1748857,12.029134,0.48000935,7.05,21.0,0.018017,tt0086636,tt0085385,,,,
tt0036349,4.73902,9.144318,22.090065,-2.1206677,10.153129,1.5774369,7.1,20.0,5.165507,tt0038008,tt0031022,,,,
tt0075909,5.315427,9.665105,19.3321,0.26022866,8.793672,0.725395,5.15,61.0,2.217704,tt0073835,tt0079285,,,,
tt0106364,5.00449,11.641151,22.403418,-1.4931104,10.6708355,1.4964497,7.6,70.0,7.291139999999999,,,,,,
tt0036104,5.4044676,10.171516,20.52592,-2.5477202,11.114348,-0.41290015,6.65,63.0,1.494525,tt0037820,tt0038343,,,,
tt0473514,5.938323,11.398651,21.48793,-2.227322,9.394233,0.30220973,5.4,89.0,5.5714510000000015,tt0922642,,,,,
tt0086263,2.889375,11.767864,18.192348,-2.9750688,9.979152,4.684872,4.85,14.0,0.038308,tt0108339,,,,,
tt0020589,2.8678932,10.412525,20.887041,-5.2780848,13.85976,0.9339012,6.65,6.0,0.422399,tt0020488,,,,,
tt0357585,5.8094625,10.49685,19.371117,-5.447886,12.972259,0.90587854,4.65,34.0,2.855757,,,,,,
tt0145529,3.3812947,9.399945,19.15941,-0.23499529,8.156902,1.1393688,2.55,7.0,0.437263,,,,,,
tt0088133,2.5705936,12.709843,18.023224,-0.39085215,9.202441,1.6666931,4.699999999999999,2.0,0.908799,tt0089715,,,,,
tt0086036,4.567012,11.137132,21.451202,-2.392254,11.113118,2.381681,6.0,52.0,3.009764,tt0094642,tt0097557,,,,
tt0077588,5.3799963,10.19282,21.002762,-2.5704985,11.935488,0.3703111,6.300000000000001,131.0,11.844029,,,,,,
tt0082509,5.2377663,12.003039,20.484509,-3.5698926,12.710223,0.72288126,6.5,70.0,7.640072999999999,,,,,,
tt0062218,4.4994893,10.406333,20.910055,-1.0322886,10.459096,1.9457126,6.85,13.0,1.078688,tt0048340,tt0049933,,,,
tt0072149,3.1440382,12.988387,19.724339,-0.67950356,10.312029,2.5686505,5.7,28.0,1.096082,tt0095488,,,,,
tt0099397,4.1215205,9.064281,22.557304,-2.8217928,13.497062,2.1295788,5.7,7.0,0.694327,tt0119594,,,,,
tt0089686,5.357514,10.769991,20.207756,-2.7388532,11.582913,1.6411052,5.6,134.0,8.668146,tt0087298,,,,,
tt0454864,5.5760756,11.6204405,19.412952,-0.3310883,8.96685,0.5333522,5.6,95.0,4.320641999999999,,,,,,
tt0103919,4.4708214,12.89328,19.87909,-1.0020936,11.367518,0.19171935,6.4,168.0,12.721362,tt0112625,tt0072271,tt0083907,,,
tt0090636,5.6083665,10.851309,18.753477,-4.8482037,11.212867,2.801232,7.0,12.0,0.185772,,,,,,
tt0158011,3.5499237,13.239681,19.884443,-3.3537679,12.685406,1.2456399,4.45,21.0,0.4900350000000001,tt0096246,,,,,
tt0064177,3.4750578,14.217721,20.052303,0.27950528,8.445111,1.4193901,7.1,48.0,3.363154,,,,,,
tt0100258,6.107055,11.3471365,21.580805,-2.565644,9.441156,0.4564052,6.800000000000001,116.0,10.644165,,,,,,
tt0130623,5.217307,11.398997,19.646809,-1.1596372,8.904999,0.874231,6.35,133.0,9.998415,tt0138749,,,,,
tt0069289,3.1180744,11.980195,18.767078,-5.1998105,11.056003,2.3830416,6.9,14.0,1.811747,,,,,,
tt0020556,3.1347125,12.125694,19.991385,-2.7736216,11.736696,0.7672989,7.4,10.0,0.037264,tt0049843,,,,,
tt0097557,5.091826,10.647472,22.286867,-2.488031,11.63015,3.7538395,5.7,51.0,5.5936010000000005,tt0081515,tt0083959,tt0096426,,,
tt0069795,4.0007386,11.764135,19.329388,-0.8572577,12.147015,3.199193,2.95,56.0,0.47033,tt0074430,,,,,
tt0188757,5.8927937,10.462905,20.19301,-3.5102608,12.070793,1.2243667,2.85,13.0,0.003174,tt0073705,tt0119256,,,,
tt0367153,4.6116247,9.491386,21.387129,-2.209939,10.219305,-0.48047262,5.25,102.0,4.710011,tt0074455,,,,,
tt0041959,5.0228043,14.017863,22.057993,-2.43281,10.7915945,3.0685222,8.0,252.0,8.513889,tt0043014,tt0033870,,,,
tt0943326,0.76964706,12.025603,19.134916,-3.3140965,12.07304,3.8303764,5.300000000000001,8.0,2.512786,tt0089562,,,,,
tt0420294,5.963491,10.5074005,20.451082,-2.6039038,11.781389,1.6739205,5.85,198.0,10.516112,tt0099994,tt0072271,tt0758746,,,
tt0031406,0.66068995,12.774493,20.183643,-2.2417798,11.452368,0.46066374,2.6,1.0,0.001373,,,,,,
tt0309698,3.5865612,11.617231,20.734198,-2.2082803,10.497304,-0.19202031,7.199999999999999,140.0,17.955897,tt0230600,tt0363988,,,,
tt0046198,2.087756,13.520527,19.117046,-1.004814,9.828315,2.0138185,5.0,13.0,1.53743,tt0049933,,,,,
tt0127045,4.09576,12.86807,21.46973,-2.580555,10.912348,-0.16734557,4.949999999999999,47.0,0.506196,,,,,,
tt0065669,5.3014164,10.380575,19.17731,-1.1169826,11.7970915,0.06060657,5.3,60.0,2.150841,tt0072869,,,,,
tt0420251,2.0036306,14.938254,17.606903,-3.1888244,10.010391,4.770589,6.85,128.0,4.128086,,,,,,
tt0251736,5.9615693,10.748893,20.838074,-2.666598,11.855846,1.1604046,6.05,218.0,11.00913,tt0072271,,,,,
tt0083959,6.1472936,11.669637,19.365541,0.7968859,7.7492256,0.8229767,5.15,76.0,5.552958,tt0082431,tt0088379,tt0096246,,,
tt0045737,3.2816882,10.414568,18.128735,-0.6974816,9.646878,1.6772189,6.35,19.0,1.060091,tt0067989,,,,,
tt0102569,4.6274376,13.102961,19.320232,0.14372127,8.112514,0.8961462,2.45,18.0,0.639242,tt0100369,tt0101591,,,,
tt0122111,6.1525087,12.159153,19.171953,0.7525219,7.691943,0.8909618,6.85,49.0,1.408341,,,,,,
tt0094015,5.7630997,10.637772,19.545897,-0.72602695,10.115866,-0.22734784,4.449999999999999,9.0,0.733454,tt0095812,,,,,
tt0074569,5.31117,14.033648,17.26854,-1.322267,11.14962,2.2072523,4.8,56.0,1.491001,tt0104418,tt0111361,tt0066735,tt0081248,,
tt0790799,3.5440927,13.298616,19.685453,-4.920644,10.6794405,3.5123985,6.35,44.0,3.3505550000000004,,,,,,
tt0439504,2.446079,13.778794,20.646137,-1.1998943,10.96566,4.3022337,2.5,4.0,1.061451,,,,,,
tt0024625,4.7451673,9.19016,21.9412,-2.6003022,10.098412,1.7260057,4.75,11.0,0.613837,tt0036349,,,,,
tt0067921,2.5862691,11.110045,20.604094,-1.2799598,10.363375,1.3278531,6.15,15.0,3.189948,tt0046719,,,,,
tt0081677,5.0283294,12.25228,19.408499,-1.2213227,8.971108,0.92181176,5.15,44.0,1.74774,tt0074845,,,,,
tt0078780,4.6661415,11.193187,19.03697,-1.2913917,9.113119,1.0824085,6.199999999999999,6.0,1.16106,,,,,,
tt0203940,2.9997346,12.424012,19.398048,0.5502865,8.749026,0.84599215,4.15,28.0,1.831412,,,,,,
tt0496350,5.9667497,10.518495,20.466856,-4.492152,12.232659,2.541583,4.9,28.0,2.827337,tt0897347,tt0119791,,,,
tt0356159,0.19998698,11.060022,20.680296,-2.4612412,10.900625,0.12352626,4.65,66.0,1.300187,,,,,,
tt0062037,4.2532897,12.259297,19.125004,-1.8865527,9.077862,0.9575642,5.550000000000001,41.0,1.650251,tt0052811,,,,,
tt0839880,5.9148507,10.300959,20.617258,-3.0800228,12.308561,1.0660949,4.15,27.0,1.104265,tt0922642,,,,,
tt0478303,5.8124027,10.334752,21.057137,-2.0356848,10.55307,2.0318537,4.800000000000001,34.0,0.7491359999999999,tt0092240,,,,,
tt0036929,4.751266,10.018678,17.56107,-0.77126014,8.229525,2.7350063,6.25,5.0,0.955925,,,,,,
tt0088885,5.215986,11.395881,19.817114,-1.7678237,10.850709,2.736394,5.550000000000001,12.0,2.849672,,,,,,
tt0068231,1.3505977,10.779149,19.940409,-3.348861,12.262128,0.06407673,2.1,17.0,0.000347,tt0077904,tt0025037,,,,
