id,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6,recommendation7,recommendation8,recommendation9,recommendation10,recommendation11,recommendation12
tt0018515,tt0019304,tt0019071,tt0018379,tt0019429,tt0018526,tt0019451,tt0019344,tt0019553,tt0021890,tt0019824,tt0018054,tt0018253
tt0118866,tt0116041,tt0114095,tt0119324,tt3314958,tt1512240,tt0268690,tt0443698,tt0067350,tt0090037,tt5791216,tt0082220,tt0068718
tt0050652,tt0052877,tt0044683,tt0048707,tt0058286,tt0043079,tt0051046,tt0051849,tt0043276,tt0051496,tt0042426,tt0051848,tt0051400
tt0051885,tt0047348,tt0054988,tt0060228,tt0059821,tt0053931,tt0055200,tt0052602,tt0053363,tt0048190,tt0062909,tt0023790,tt0053719
tt0248123,tt4326444,tt13279528,tt0072852,tt0433770,tt0045942,tt0402022,tt4048272,tt9271164,tt0185125,tt15392100,tt11242218,tt9203694
tt0065755,tt0061695,tt0064360,tt0063000,tt0067123,tt0467923,tt0081675,tt0117089,tt0050251,tt0434964,tt0068371,tt0064373,tt0070122
tt0100263,tt0095250,tt0090095,tt0107843,tt0118379,tt0151137,tt0152930,tt0119116,tt0473753,tt0281364,tt1592154,tt0101376,tt7456310
tt0045992,tt0045846,tt0044722,tt0046035,tt0047449,tt0043469,tt0046294,tt0046719,tt0039737,tt0043885,tt0044186,tt0043408,tt0043959
tt0112443,tt0095774,tt0099409,tt2078718,tt0117193,tt0097125,tt1103256,tt0280486,tt0454839,tt0403407,tt0299854,tt0443527,tt6782276
tt0235712,tt0218553,tt0134928,tt0178868,tt0367913,tt1844025,tt0235133,tt5309954,tt0289424,tt2440362,tt0330500,tt0330501,tt0364385
tt0115685,tt0114682,tt0104694,tt0093105,tt0101921,tt0098384,tt0077288,tt0080319,tt0095159,tt0116313,tt0259446,tt0129290,tt0107050
tt0029952,tt0029951,tt0031054,tt0028670,tt0031125,tt0028667,tt0031124,tt0025710,tt0028668,tt0043372,tt0022639,tt0035659,tt0030883
tt0114367,tt1214983,tt0118956,tt0160399,tt0097737,tt0120458,tt0119675,tt0120004,tt0106950,tt0105459,tt0119891,tt0097179,tt0276816
tt0353489,tt0365265,tt0210070,tt3807112,tt1959332,tt0303361,tt0280609,tt0115610,tt0905319,tt0257516,tt0095925,tt0082533,tt7061840
tt0044811,tt0047167,tt0048272,tt0040418,tt0044060,tt0041998,tt0052017,tt0043048,tt0053772,tt0045848,tt0039834,tt0038468,tt0038675
tt0443584,tt0385703,tt1760980,tt0071154,tt0815457,tt0167351,tt0299594,tt0365531,tt0086410,tt0070358,tt0822868,tt1994533,tt0082054
tt0115006,tt0100975,tt0086610,tt0080379,tt0104822,tt0082559,tt0108339,tt0094627,tt0081112,tt0090057,tt0063552,tt0089963,tt0185408
tt0094375,tt0091229,tt0093229,tt0108281,tt0105619,tt0094162,tt0111800,tt0168973,tt0076659,tt0095337,tt0165185,tt0106937,tt0097539
tt0118747,tt0080455,tt0106394,tt0472243,tt0077975,tt0145505,tt0109254,tt0086465,tt0067716,tt0117608,tt8919164,tt0090056,tt0117768
tt0242527,tt0331811,tt1085779,tt9110170,tt10037014,tt0206314,tt6378710,tt0295700,tt0366627,tt0381966,tt0424136,tt0368447,tt0263488
tt0466766,tt2126362,tt0401815,tt1228933,tt0425132,tt7208564,tt0840322,tt3675606,tt2327782,tt0460626,tt0100107,tt0091969,tt0387973
tt0374180,tt0108517,tt0100369,tt0087075,tt0091142,tt0381966,tt0115610,tt0303021,tt0450405,tt0470132,tt0257516,tt0336940,tt0116365
tt0100369,tt0112643,tt0092906,tt0264508,tt0102800,tt0091083,tt0055304,tt0443496,tt0328031,tt0106950,tt0099368,tt0758786,tt0115508
tt0122933,tt0289848,tt0122690,tt0227445,tt0212338,tt0203019,tt0290002,tt0106489,tt12032604,tt0284490,tt0190138,tt0118887,tt0179626
tt0089087,tt0112495,tt0063056,tt0082348,tt0093209,tt0065974,tt0070948,tt0068473,tt0490499,tt0100924,tt1176095,tt0083111,tt0120706
