id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,country,language,director,votes,reviews_from_critics,popularity,genre_1,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0018515,4.942679,13.48206,17.669596,-0.7382351,8.649476,3.3071256,USA,English,Lewis Milestone,3.35,6.0,0.38981,Adventure,tt0019304,tt0021890,,,,
tt0118866,1.6727787,11.368067,20.34137,-4.583504,12.137049,4.244494,"UK, USA",English,Jill Sprecher,6.05,43.0,1.885671,Comedy,tt0119324,tt0090037,tt0082220,tt0068718,,
tt0050652,3.5866811,10.92703,20.424614,-2.2858074,9.784697,2.606914,USA,English,Henry Levin,6.25,8.0,0.127452,Drama,,,,,,
tt0051885,5.692213,10.103884,21.787266,-3.158614,11.626658,0.29834536,USA,English,William Castle,5.949999999999999,22.0,0.837849,Horror,tt0052602,,,,,
tt0248123,5.052363,14.008677,19.101181,-5.6847553,10.454543,5.274888,Germany,German,Christoph Stark,6.6,7.0,0.041677,Drama,,,,,,
tt0065755,4.7033324,11.987821,19.098112,-0.27521625,8.493797,0.9465543,Japan,Japanese,"Noriaki Yuasa, Shigeo Tanaka",5.55,42.0,0.006668,Action,,,,,,
tt0100263,4.144337,9.653905,21.986462,-1.5243771,10.9752865,0.09819287,"France, Italy","French, Italian, English",Luc Besson,7.15,91.0,6.586401,Action,tt0151137,,,,,
tt0045992,4.0303955,9.922432,20.934471,-1.5060542,9.827892,1.5919117,USA,English,Raoul Walsh,6.550000000000001,14.0,0.442244,Western,tt0043469,tt0046719,tt0039737,tt0043408,tt0043959,
tt0112443,3.1715574,12.30745,21.315716,-1.0237194,9.7718725,1.6098151,USA,English,Damian Harris,5.15,14.0,0.912415,Crime,tt0117193,tt0454839,,,,
tt0235712,2.6251762,9.71547,18.694498,-3.3916173,11.556692,0.37949654,Japan,Japanese,Norio Tsuruta,5.9,55.0,5.007142,Horror,tt0218553,tt0367913,,,,
tt0115685,-0.20075805,10.89206,21.105186,-4.3529224,13.697131,1.9870957,USA,English,Mike Nichols,6.9,78.0,6.4996800000000015,Comedy,,,,,,
tt0029952,5.693859,12.886382,22.11293,-2.0676198,10.287991,0.6545298,USA,English,James P. Hogan,6.0,5.0,0.202059,Action,tt0035659,,,,,
tt0114367,4.06787,12.191001,18.847292,0.11544101,7.694232,1.1172891,"Canada, USA, UK, Japan",English,Christian Duguay,6.25,69.0,12.758848,Horror,tt0106950,,,,,
tt0353489,5.7213683,11.140158,18.404781,-2.5530376,12.074337,1.9363294,Canada,English,Brett Sullivan,6.300000000000001,75.0,3.523822,Horror,tt0115610,,,,,
tt0044811,1.0579476,10.189031,20.072557,-4.7486515,12.250198,3.6945038,Sweden,"Swedish, French",Ingmar Bergman,6.5,15.0,0.7516520000000001,Comedy,tt0038675,,,,,
tt0443584,0.48680502,11.6905985,20.577621,-4.113286,13.450911,1.1720318,"Italy, Spain",Italian,Luca Guadagnino,4.449999999999999,10.0,5.257142,Drama,tt0082054,,,,,
tt0115006,6.155543,11.852579,19.983948,-0.1182005,8.635383,0.85883665,"USA, UK",English,Harry Bromley Davenport,3.85,20.0,0.409937,Horror,tt0100975,tt0080379,tt0108339,,,
tt0094375,1.9207844,14.852373,17.733755,-2.2343264,8.750351,3.0113187,Hong Kong,Cantonese,David Chung,6.35,19.0,0.921075,Action,tt0111800,tt0106937,,,,
tt0118747,3.759575,9.56144,19.596943,-5.045476,11.432679,3.427097,USA,"English, Russian",John Landis,5.050000000000001,51.0,13.162168,Action,tt0109254,tt0090056,,,,
tt0242527,2.242022,11.166927,21.120935,-2.1600718,9.92018,0.14253655,UK,English,Nick Hamm,6.300000000000001,47.0,4.406514,Drama,tt0366627,,,,,
tt0466766,5.4095964,10.762071,19.984203,-1.8169471,9.831338,0.2732862,USA,English,"Brendan Cowles, Shane Kuhn",4.75,26.0,1.777051,Comedy,,,,,,
tt0374180,5.129464,9.997657,18.254795,-2.657217,10.732504,1.9215876,"Spain, UK",English,Paco Plaza,5.35,33.0,8.64362,Drama,tt0100369,tt0115610,,,,
tt0100369,2.1489573,13.553352,17.89197,-2.3432531,11.455474,2.7252643,"USA, Italy",English,Stuart Gordon,5.85,44.0,2.252625,Horror,tt0106950,,,,,
tt0122933,4.105627,10.144854,21.946957,-3.328819,10.04166,4.240632,"USA, Australia",English,Harold Ramis,6.550000000000001,135.0,7.634017,Comedy,,,,,,
tt0089087,4.742675,12.30373,20.903996,-2.1894186,10.147242,2.3426325,UK,"English, Portuguese",John Boorman,6.95,46.0,19.520733,Action,tt0082348,tt0093209,,,,
tt0442781,2.853652,12.622983,20.134197,-2.4265258,12.1029,4.626698,India,Tamil,K.S. Ravikumar,6.6,,0.482527,Action,,,,,,
